1	CHUCK TODD	This Sunday, what ever happened to the "Stop Trump" movement?	0
2	CHUCK TODD	advertisement	0
3	DONALD TRUMP	We're winning by a lot.	0
4	DONALD TRUMP	We're kicking ass, I'll tell you.	0
5	CHUCK TODD	Trump keeps winning.	0
6	CHUCK TODD	G.O.P.	0
7	CHUCK TODD	leaders are falling in line, and neither Cruz nor Kasich are gaining momentum.	0
8	CHUCK TODD	Is it possible this "Stop Trump" movement has been stopped?	0
9	CHUCK TODD	Plus, my sit-down with Bernie Sanders.	0
10	SEN. BERNIE SANDERS	I will do everything that I can to make certain that-- Donald Trump is not elected president.	0
11	CHUCK TODD	The senator from Vermont on Trump, his chances of winning the nomination, and why he thinks he's losing to Hillary Clinton.	0
12	SEN. BERNIE SANDERS	Well because poor people don’t vote.	0
13	SEN. BERNIE SANDERS	I mean, that’s just a fact that’s a sad reality of American society.	0
14	SEN. BERNIE SANDERS	advertisement	0
15	CHUCK TODD	Also, is the U.S. helping to cover up a Saudi Arabian government role in 9/11?	0
16	CHUCK TODD	There are 28 pages that may have the answers.	0
17	CHUCK TODD	Should they be declassified?	0
18	CHUCK TODD	And joining me for insight and analysis this Sunday morning are Robert Costa of The Washington Post, MSNBC's Joy-Ann Reid, Republican strategist Nicolle Wallace, and Jose Diaz-Balart, of NBC News and Telemundo.	0
19	CHUCK TODD	Welcome to Sunday.	0
20	CHUCK TODD	It's Meet the Press.	0
21	ANNOUNCER	From NBC News in Washington, this is Meet the Press with Chuck Todd.	0
22	CHUCK TODD	Good Sunday morning, with Bernie Sanders’ prospects for taking the Democratic nomination from Hillary Clinton getting slimmer by the day.	0
23	CHUCK TODD	Sanders told me yesterday that he's fallen behind because in his words, poor people don't vote.	0
24	CHUCK TODD	There's a lot more in that interview, and we're going to get to it later in the show.	0
25	CHUCK TODD	And we're going to get to the Democrats as well.	0
26	CHUCK TODD	But we begin with the Republican race.	0
27	CHUCK TODD	It is no stretch to conclude that when it comes to Donald Trump, the Republican party has slowly been working its way through the classic five stages of grief.	0
28	CHUCK TODD	The first one was denial, "Trump can't be taken seriously," the second one, anger, "What makes this guy think he is even a Republican or a conservative anyway?"	0
29	CHUCK TODD	The third, bargaining, "Let's take it to the voters, they'll reject him, right?"	0
30	CHUCK TODD	The fourth, depression, "Oh my God, he's actually winning this thing."	0
31	CHUCK TODD	And now the fifth stage, the hardest one of all, acceptance.	0
32	CHUCK TODD	Why?	0
33	CHUCK TODD	Trump just won big in New York.	0
