1	Donald Trump	Look, he's a showboat.	0
2	Donald Trump	He's a grandstander.	0
3	Donald Trump	The FBI has been in turmoil.	0
4	Donald Trump	You know that.	0
5	Donald Trump	I know that.	0
6	Donald Trump	Everybody knows that.	0
7	Donald Trump	You take a look at the FBI a year ago, it was in virtual turmoil.	0
8	Donald Trump	Less than a year ago.	0
9	Donald Trump	It hasn't recovered from that.	0
10	Lester Holt	Monday, you met with the Deputy Attorney General Rob Rosenstein.	0
11	Lester Holt	Did you ask for a recommendation? What I did is, was I going to fire	0
12	SYSTEM	[James]	0
13	Lester Holt	Comey.	0
14	Donald Trump	My decision.	0
15	Donald Trump	It was not...	0
16	Lester Holt	You had made the decision before they came over...	0
17	Donald Trump	I...	0
18	Donald Trump	I was going to fire Comey.	0
19	Donald Trump	There is no good time to do it by the way.	0
20	Donald Trump	They...	0
21	Lester Holt	Because in your letter you said I...	0
22	Lester Holt	I accepted...	0
23	Lester Holt	I accepted their recommendation.	0
24	Lester Holt	So, you had already made the decision.	0
25	Donald Trump	Oh, I was going to fire regardless of recommendation. So there	0
26	SYSTEM	[inaudible]	0
27	Donald Trump	He made a recommendation He is highly respected.	0
28	Donald Trump	Very good guy.	0
29	Donald Trump	Very smart guy.	0
30	Donald Trump	The Democrats like him.	0
31	Donald Trump	The Republicans like him.	0
32	Donald Trump	He made a recommendation, but regardless of recommendation I was going to fire Comey, knowing there was no good time to do it.	0
33	Donald Trump	And in fact, when I decided to just do it I said to myself, I said, you know, this Russia thing with Trump and Russia is a made-up story.	0
34	Donald Trump	It's an excuse by the Democrats having lost an election that they should have won.	0
35	Donald Trump	And the reason they should have won it is, the electoral college is almost impossible for a Republican to win.	0
36	Donald Trump	Very hard.	0
37	Donald Trump	Because you start off at such a disadvantage.	0
38	Donald Trump	So, everybody was thinking they should have won the election.	0
39	Donald Trump	This was an excuse for having lost an election.	0
40	Lester Holt	Are you angry with Mr. Comey because of his Russia investigation?	0
41	Donald Trump	I just want somebody that's competent.	0
42	Donald Trump	I am a big fan of the FBI.	0
43	Donald Trump	I love the FBI.	0
44	Donald Trump	I love the people of the FBI.	0
45	Donald Trump	but when you have a land of people taking on that investigation I think that.	0
46	Lester Holt	But were you a fan of him taking up that investigation?	0
47	Donald Trump	I think that... about the Hillary Clinton investigation?	0
48	Lester Holt	No, about the Russia investigation and possible links between...	0
49	Donald Trump	No, I don't care... look, look, let me tell you.	0
50	Donald Trump	As far as I'm concerned, I want that thing to be absolutely done properly.	0
51	Donald Trump	When I did this now, I said I probably maybe, will confuse people.	0
52	Donald Trump	Maybe I'll expand that, you know, I'll lengthen the time because... it should be over with, it should... in my opinion, it should have been over with a long time ago, because all it is, is an excuse, But, I said to myself I might even lengthen out the investigation, but I have to do the right thing for the American people.	0
53	Donald Trump	He's the wrong man for that position.	0
54	SYSTEM	[Break]	0
55	Lester Holt	Let me ask you about your termination letter to Mr. Comey.	0
56	Lester Holt	You write: I greatly appreciate you informing me on three separate occasions and I am not under investigation.	0
57	Lester Holt	Why did you put that in there?	0
58	Donald Trump	Because he told me that.	0
59	Donald Trump	I mean, he told me...	0
60	Lester Holt	He told you you weren't under investigation with regard to the Russia investigation?	0
61	Donald Trump	Yeah, and I've heard that, I've heard that from others.	0
62	Lester Holt	Was it in a phone call?	0
63	Lester Holt	Did you meet face to face?	0
64	Donald Trump	I had a dinner with him.	0
65	Donald Trump	He wanted to have dinner, because he wanted to stay on.	0
66	Donald Trump	We had a very nice dinner at the White House very early on.	0
67	Lester Holt	He asked for that?	0
68	Donald Trump	That dinner was arranged.	0
69	Donald Trump	I think he asked for the dinner.	0
70	Donald Trump	And he wanted to stay on as the FBI head.	0
