1	CHUCK TODD	This Sunday, it may have been Donald Trump's worst week on the campaign trail yet.	0
2	CHUCK TODD	He defended his campaign manager, who was charged with assaulting a woman reporter.	0
3	CHUCK TODD	He called for women who have abortions to be punished.	0
4	CHUCK TODD	There has to be some form of punishment.	0
5	CHRIS MATTHEWS	For the woman?	0
6	DONALD TRUMP	Yeah, there has to be some form.	0
7	CHUCK TODD	He says he's open to Japan and South Korea having nuclear weapons.	0
8	CHUCK TODD	And now he's slipping in the polls.	0
9	CHUCK TODD	Is the Donald Trump campaign finally crumbling?	0
10	CHUCK TODD	Or will he survive, as he's done so many times before?	0
11	CHUCK TODD	Plus, Hillary Clinton still can't put away Bernie Sanders.	0
12	CHUCK TODD	And the frustration is beginning to show.	0
13	HILLARY CLINTON	I am so sick of the Sanders campaign lying about me.	0
14	CHUCK TODD	My exclusive interview this morning with Secretary Clinton.	0
15	CHUCK TODD	Also, with all the talk of a contested convention, what did John Kasich mean by this?	0
16	JOHN KASICH	Is Mitt running for president?	0
17	JOHN KASICH	We've been wondering that ourselves.	0
18	CHUCK TODD	Is it possible that someone not in the race today could be the Republican nominee in July?	0
19	CHUCK TODD	And joining me for insight and analysis this morning are David Brooks of The New York Times, Amy Walter of The Cook Political Report, Helene Cooper of The New York Times, and political reporter Charles Benson, from our NBC affiliate in Milwaukee.	0
20	CHUCK TODD	Happy opening day, and welcome to Sunday, it's Meet the Press.	0
21	ANNOUNCER	From NBC News in Washington, this is Meet the Press with Chuck Todd.	0
22	CHUCK TODD	Good Sunday morning.	0
23	CHUCK TODD	And yes, happy opening day again.	0
24	CHUCK TODD	How many times have people said, "Okay, now, Donald Trump is done.	0
25	CHUCK TODD	He's through."	0
26	CHUCK TODD	And how many times has it turned out to be true?	0
27	CHUCK TODD	Well, not once.	0
28	CHUCK TODD	So it's with that big flashing yellow light in mind that we point out that never has Donald Trump had a worse run, or the idea of a Trump collapse look more possible.	0
29	CHUCK TODD	Just this week, Trump's campaign manager was arrested and charged with battery.	0
30	CHUCK TODD	Trump withdrew his pledge to back whoever wins the Republican nomination.	0
31	CHUCK TODD	He argued it might be time to let Japan and South Korea arm themselves with nuclear weapons to reduce America's military burden.	0
32	CHUCK TODD	He told MSNBC's Chris Matthews that women should be punished for having abortions.	0
33	CHUCK TODD	By Friday night, Trump had articulated five positions on abortion in just over 48 hours.	0
34	CHUCK TODD	And wrapping up this terrible, horrible, no-good, very bad week for Trump, he now trails Ted Cruz in a number of polls in Wisconsin, which holds its primary on Tuesday.	0
35	CHUCK TODD	Trump's serial explanations on abortion this week have been condemned by both Republicans and Democrats, including Hillary Clinton.	0
36	SYSTEM	(BEGIN TAPE)	0
37	HILLARY CLINTON	Donald Trump said, "Women should be punished for having an abortion."	0
38	HILLARY CLINTON	(BOOS) He then tried to distance himself, once that kind of reaction came out from his outrageous comments.	0
39	HILLARY CLINTON	But we all heard them.	0
40	SYSTEM	(END TAPE)	0
41	CHUCK TODD	Secretary Clinton is having her own problems putting away Senator Bernie Sanders in her primary.	0
42	CHUCK TODD	I talked to her last night as she was campaigning in Wisconsin in advance of Tuesday's primary.	0
43	SYSTEM	(BEGIN TAPE)	0
44	CHUCK TODD	I have a question about a new question that you're running in New York State.	0
45	CHUCK TODD	Let me play it for the viewers and get you to respond on the other side.	0
46	CHUCK TODD	Here it is.	0
